timestamp,avg_update_ms,max_update_ms,fps_ms,players,zombies_loaded,zombies_simulated,loaded_cells,heap_used_mb,resend_buffer_bytes,recv_packets_total,sent_packets_total
2026-07-13_17-34-18,3.0,293.0,74.0,20.0,1591.0,0.0,167.0,22059.0,25185.0,165838,917553
2026-07-13_17-34-32,13.0,270.0,270.0,20.0,1423.0,0.0,168.0,23102.0,17520.0,168348,934897
2026-07-13_17-34-46,3.0,291.0,76.0,20.0,1695.0,0.0,170.0,24165.0,9970.0,170840,951708
2026-07-13_17-35-01,5.0,274.0,117.0,20.0,1937.0,0.0,175.0,25155.0,5624.0,173442,968384
2026-07-13_17-35-15,4.0,316.0,87.0,20.0,1768.0,0.0,175.0,26036.0,215.0,175779,985843
2026-07-13_17-35-29,5.0,115.0,106.0,20.0,1218.0,0.0,171.0,26946.0,169.0,177945,1001702
2026-07-13_17-35-43,4.0,110.0,102.0,20.0,1631.0,0.0,175.0,27852.0,5893.0,180081,1017053
2026-07-13_17-35-57,5.0,123.0,106.0,20.0,1761.0,0.0,168.0,28674.0,9343.0,182351,1031632
2026-07-13_17-36-12,8.0,191.0,171.0,20.0,1639.0,0.0,171.0,29651.0,17055.0,184658,1046422
2026-07-13_17-36-26,4.0,182.0,95.0,20.0,1679.0,0.0,177.0,30582.0,103.0,186964,1059355
2026-07-13_17-36-40,5.0,119.0,109.0,20.0,1826.0,0.0,180.0,31520.0,8186.0,189045,1070651
2026-07-13_17-36-54,4.0,207.0,92.0,20.0,1475.0,0.0,184.0,32617.0,24236.0,191499,1084636
2026-07-13_17-37-09,3.0,113.0,82.0,20.0,1625.0,0.0,183.0,33652.0,33406.0,193969,1100544
2026-07-13_17-37-23,6.0,459.0,158.0,20.0,1575.0,0.0,187.0,34972.0,52153.0,196715,1114929
2026-07-13_17-37-38,5.0,122.0,107.0,20.0,1790.0,0.0,186.0,36083.0,17737.0,199377,1131526
2026-07-13_17-37-53,8.0,201.0,173.0,20.0,1835.0,0.0,189.0,37056.0,494.0,201935,1145016
